id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
187870,https://www.airbnb.com/rooms/187870,20241225160317,2024-12-25,previous scrape,Luxury studio 'Spiegelhof' in the centre of Ghent,"The top floor of our house in the center of Ghent is a tasteful and practically furnished studio with a separate sleeping area, sitting area, dining area and kitchenette. There is a private bathroom with rain shower, sink and toilet. The studio is equipped with all amenities and comfort.<br />You can use the cozy terrace located on the mezzanine floor. There is a sofa with cushions, mood lighting and a low table. Ideal for breakfast or an aperitif.",We live in a quiet and pleasant neighborhood within walking distance of the historic city center. The historic center of Ghent is within walking distance of our house. After a busy day you can enjoy your own studio in peace and quiet. The room has recently been insulated. You are not bothered by outside noise.<br />There is a supermarket around the corner and a bakery on the church square.<br />There are several restaurants within walking distance.,https://a0.muscache.com/pictures/26c46224-795c-472a-9431-23698e00f43d.jpg,904277,https://www.airbnb.com/users/show/904277,Tamara,2011-08-01,"Ghent, Belgium","We are living in a house in the center of beautifull Ghent. Just a 10 minutes walk away from the historical center. We like traveling to cities. It will be a pleasure to be the host of travellers who vist Ghent or other cities in Belgium. We are very interested in cultural activities. Ghent offers a unique choice of cultural activities: musea, concerthall's, cinemas, opera, expositions,... We will offer you a warm welcome en hope you enjoy your stay.",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/a94379bd-3e94-4bee-b3ad-cccea3e8f31f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a94379bd-3e94-4bee-b3ad-cccea3e8f31f.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,"Ghent, Flemish Region, Belgium",Watersportbaan - Ekkergem,,51.05247,3.70316,Private room in condo,Private room,2,,1.5 baths,1,,"[""Dishes and silverware"", ""Room-darkening shades"", ""Coffee"", ""Meraki shampoo"", ""Central heating"", ""Books and reading material"", ""Bed linens"", ""Private patio or balcony"", ""Cooking basics"", ""Coffee maker: Nespresso"", ""First aid kit"", ""Refrigerator"", ""HDTV with Chromecast, standard cable"", ""Private entrance"", ""Free washer \u2013 In building"", ""Private living room"", ""Drying rack for clothing"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Shower gel"", ""Iron"", ""Kitchen"", ""Outdoor furniture"", ""Self check-in"", ""Freezer"", ""Meraki body soap"", ""Laundromat nearby"", ""Free dryer \u2013 In building"", ""Hair dryer"", ""Mini fridge"", ""Outdoor dining area"", ""Essentials"", ""Dining table"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Portable fans"", ""Cleaning products"", ""Board games"", ""Record player"", ""City skyline view"", ""Sound system with aux"", ""Mosquito net"", ""Microwave"", ""Keypad"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Paid parking garage off premises"", ""Wifi""]",,2,90,2,2,1125,1125,2.0,1125.0,,t,8,23,41,219,2024-12-25,427,2,0,2011-09-17,2024-03-04,4.85,4.9,4.95,4.9,4.87,4.58,4.85,,t,1,0,1,0,2.64
203806,https://www.airbnb.com/rooms/203806,20241225160317,2024-12-25,city scrape,Flat close to Sint-Pieters Station!,"This well-located and comfortable one-bedroom flat on the ground floor of a city house allows you to discover Ghent at ease, whether you come by train or car. The heart of the city is at walking distance while you sleep in a quiet street.","The house is located in a dead-end street - so it is quiet and no traffic is passing through, especially in weekends and evenings. There is a square in front of the house with parking facilities.<br /><br />There are bakeries, restaurants and shops in the vicinity. A nice restaurant with take-away facilities is just around the corner. And the heart of the city is a stroll away along the river.<br /><br />If you want to go for sports (jogging, out or indoor swimming) and nature/relaxation, you can walk to the Blaarmeersen which has all major sports facilities.",https://a0.muscache.com/pictures/hosting/Hosting-203806/original/190be076-6a00-4cbf-8e9e-31206f0b841c.jpeg,999847,https://www.airbnb.com/users/show/999847,Jean Denis,2011-08-21,"Panama City, Panama","I am a legal advisor who always worked internationally and used to travel extensively. Keen on meeting people, I like to assist newcomers in discovering my home town both for their professional or private reasons. I expect guests to have a certain maturity and to communicate with mutual respect. ",within an hour,90%,94%,f,https://a0.muscache.com/im/pictures/user/500c151c-7de5-488e-90aa-7035d64e3ee6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/500c151c-7de5-488e-90aa-7035d64e3ee6.jpg?aki_policy=profile_x_medium,,2,4,['phone'],t,t,"Ghent, Flemish Region, Belgium",Watersportbaan - Ekkergem,,51.04426,3.7127,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Dishes and silverware"", ""Oven"", ""Room-darkening shades"", ""Coffee"", ""Children\u2019s dinnerware"", ""Books and reading material"", ""Coffee maker"", ""Bed linens"", ""Sound system"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Private patio or balcony"", ""Blender"", ""First aid kit"", ""Refrigerator"", ""Shampoo"", ""Gym"", ""Private entrance"", ""Drying rack for clothing"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Shower gel"", ""Iron"", ""Kitchen"", ""Dishwasher"", ""Outdoor furniture"", ""Self check-in"", ""Children\u2019s books and toys"", ""Freezer"", ""Free washer \u2013 In unit"", ""Laundromat nearby"", ""Free dryer \u2013 In building"", ""Hair dryer"", ""Mini fridge"", ""Toaster"", ""Outdoor dining area"", ""Essentials"", ""Dining table"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Portable fans"", ""Cleaning products"", ""Garden view"", ""HDTV with standard cable, Apple TV"", ""Pocket wifi"", ""Private backyard \u2013 Fully fenced"", ""Record player"", ""Crib"", ""High chair"", ""Babysitter recommendations"", ""Microwave"", ""Free street parking"", ""Paid parking off premises"", ""Ethernet connection"", ""Hot water kettle"", ""Single level home"", ""Conditioner"", ""Bikes"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Smart lock"", ""Clothing storage: wardrobe and dresser"", ""Body soap"", ""Wifi""]",$127.00,2,730,2,2,730,730,2.0,730.0,,t,22,50,80,348,2024-12-25,321,23,0,2011-10-26,2024-11-03,4.58,4.71,4.66,4.79,4.79,4.52,4.54,,f,1,1,0,0,2.00
252269,https://www.airbnb.com/rooms/252269,20241225160317,2024-12-25,city scrape,Large & bright town House - Center Ghent - max 8p,"bright, spacious, authentic & beautifully restaured townhouse in the center of ghent. close to the historical  & actual hightlights and most trending places :)<br />Quiet and creative area, close to small local shops, fresh markets, city supermarkets, bakeries, restaurants, coffee bars, authentic very local pubs. public transport 3' walking distance","our neighbourhood known as GENT LINKEROEVER is quiet, but nicely vibrating due to the gentle mix of small local independent shops, restaurants, coffee bars and the best local pubs, but also residents of all ages & origins and of course our amazing students around :)",https://a0.muscache.com/pictures/hosting/Hosting-252269/original/212940d1-937e-4170-89b0-062a2cc78b89.jpeg,1195314,https://www.airbnb.com/users/show/1195314,Anne-Sophie,2011-09-22,"Ghent, Belgium","hi, I'm an interior designer, I live and work in Ghent and I love my city !
I'm renting the house next to mine for short rental stays and would be very happy to help anyone who wants to discover Ghent.
of course travelling & exploring new countries/cities is one of my passions :)
",within a few hours,100%,98%,t,https://a0.muscache.com/im/pictures/user/5786de83-7854-4086-9719-4b1e8b5e7143.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5786de83-7854-4086-9719-4b1e8b5e7143.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,"Ghent, Flemish Region, Belgium",Elisabethbegijnhof - Papegaai,,51.05059,3.71895,Entire townhouse,Entire home/apt,8,2.5,2.5 baths,4,8,"[""Dishes and silverware"", ""Marshall Bluetooth sound system"", ""Oven"", ""Cleaning available during stay"", ""Children\u2019s dinnerware"", ""Sun loungers"", ""Coffee maker"", ""Bed linens"", ""Private patio or balcony"", ""HDTV with Chromecast"", ""Cooking basics"", ""Stove"", ""First aid kit"", ""Refrigerator"", ""Blender"", ""Baking sheet"", ""Shampoo"", ""Private entrance"", ""Drying rack for clothing"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Shower gel"", ""Iron"", ""Kitchen"", ""Dishwasher"", ""Outdoor furniture"", ""Self check-in"", ""Children\u2019s books and toys"", ""Freezer"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Toaster"", ""Outdoor dining area"", ""Essentials"", ""Dining table"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Portable fans"", ""Cleaning products"", ""Board games"", ""Private backyard \u2013 Fully fenced"", ""Crib"", ""High chair"", ""Host greets you"", ""Babysitter recommendations"", ""Microwave"", ""Hot water kettle"", ""Clothing storage"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Body soap"", ""Lockbox"", ""Wifi""]",$308.00,2,120,2,6,120,120,2.3,120.0,,t,0,21,47,192,2024-12-25,313,42,2,2012-04-09,2024-12-01,4.87,4.89,4.89,4.91,4.93,4.98,4.71,,f,1,1,0,0,2.02
476371,https://www.airbnb.com/rooms/476371,20241225160317,2024-12-25,city scrape,Basic room in a 19th century house near station.,"Only a short walk to the old city center and close to several of Ghent's beautiful parks. <br /><br />There is parking near the house and bike rental options.<br /><br />Although the house is located in a very vivid area of town, you can enjoy the peacefulness and quietness at all times as the rooms are located in the back of the house, with a view of the large garden.","The house is located between the 'Visserij', 'Macharius' and 'Dampoort' area. Dampoort neighbourhood is known for the its intercultural live and atmosphere. There is a lot of greenery, what you don't often see in the city because Ghent is rated as one of the 'greyest' cities in the world :-). You have at least five small and big parks around the house where you can go to relax or where you have public BBQ sets. <br /><br />The 'Visserij' and 'Macharius' are mainly populated by young people and young families. There is lots of restaurants and several cozy local bars here.",https://a0.muscache.com/pictures/a2325f5a-1f0b-4848-93e8-34f463d88328.jpg,996824,https://www.airbnb.com/users/show/996824,Annabell,2011-08-20,"Ghent, Belgium","I'm a mother of one year old twins, renting out a room in our own family home. Ghent can be crowded, and so can be the hotels and hostels, therefore I see renting out a part of my private house as a great opportunity for both guest and host. But for obvious reasons we do not allow party people, extra guests, pets,... 
We respect guests and expect respect (silence and cleanliness) in return!",a few days or more,10%,4%,f,https://a0.muscache.com/im/pictures/user/6b003f90-6eaa-4221-9563-bd87559510d7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6b003f90-6eaa-4221-9563-bd87559510d7.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone']",t,t,"Ghent, Flemish Region, Belgium",Macharius - Heirnis,,51.04799,3.74363,Private room in townhouse,Private room,1,1.5,1.5 shared baths,1,1,"[""Pack \u2019n play/Travel crib - available upon request"", ""Private backyard"", ""Children\u2019s dinnerware"", ""Books and reading material"", ""Clothing storage: dresser"", ""Drying rack for clothing"", ""Hot water"", ""Paid standalone high chair - available upon request"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Laundromat nearby"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Board games"", ""Crib"", ""Host greets you"", ""Babysitter recommendations"", ""Paid parking off premises"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Bathtub"", ""Children's playroom"", ""Baby bath"", ""Wifi""]",$50.00,4,1125,1,2,1125,1125,1.3,1125.0,,t,20,48,78,78,2024-12-25,45,0,0,2012-10-08,2022-08-29,4.25,4.24,4.51,4.63,4.76,4.22,4.15,,f,5,1,4,0,0.30
696209,https://www.airbnb.com/rooms/696209,20241225160317,2024-12-25,city scrape,Black & White studioB central Ghent,"This is a new self-catered studio situated in a hip upcoming neighbourhood of the center of Ghent. <br />Ideal for 1 person or couple.  Erasmus or PHD student.  <br />With private kitchen and bathroom (shower, toilet, lavabo).  Fully furnished and equipped kitchen.",This studio is situated in a hip upcoming neighbourhood of the center of Ghent. A lot of alternative nice bars and restaurants nearby. Bakery shop around the corner and several locations for a nice breakfast. Shopping area at 3 min walk. Historical center with the 3 famous towers are only 5 min walk along a beautiful canal. On sunday morning there is a book- and flower market at the end of the street.,https://a0.muscache.com/pictures/52318922/d9afa040_original.jpg,1328011,https://www.airbnb.com/users/show/1328011,Jan,2011-10-24,"Gent, Belgium",We like to invite open minded people in our accommodations from all over the world to share thoughts. And learn you all about the beautiful unknown spots in our city.,within a few hours,100%,80%,t,https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone', 'work_email']",t,t,"Ghent, Flanders, Belgium",Elisabethbegijnhof - Papegaai,,51.05021,3.71624,Entire rental unit,Entire home/apt,2,1.0,1 bath,0,1,"[""Dishes and silverware"", ""Oven"", ""Room-darkening shades"", ""Clothing storage: closet, wardrobe, and dresser"", ""Paid street parking off premises"", ""Bed linens"", ""Coffee maker: drip coffee maker"", ""Cooking basics"", ""Stove"", ""Refrigerator"", ""Private entrance"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Kitchen"", ""Iron"", ""Hair dryer"", ""Essentials"", ""Dining table"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Cleaning products"", ""Host greets you"", ""Microwave"", ""Ethernet connection"", ""Hot water kettle"", ""Wifi""]",$94.00,90,200,6,90,200,200,88.1,200.0,,t,1,1,1,269,2024-12-25,38,1,0,2013-01-23,2024-02-06,4.87,4.89,4.84,4.95,5.0,4.89,4.62,,f,5,5,0,0,0.26
743981,https://www.airbnb.com/rooms/743981,20241225160317,2024-12-25,city scrape,Black & White studioA central Ghent,"This is a new self-catered studio situated in a hip upcoming neighbourhood of the center of Ghent. <br />Ideal for 1 person or couple.  Erasmus or PHD student. <br />With private kitchen and bathroom (shower, toilet, lavabo).  Fully furnished and equipped kitchen.",This studio is situated in a hip upcoming neighbourhood of the center of Ghent. A lot of alternative nice bars and restaurants nearby. Bakery shop around the corner and several locations for a nice breakfast. Shopping area at 3 min walk. Historical center with the 3 famous towers are only 5 min walk along a beautiful canal. On sunday morning there is a book- and flower market at the end of the street.,https://a0.muscache.com/pictures/51758505/4532666a_original.jpg,1328011,https://www.airbnb.com/users/show/1328011,Jan,2011-10-24,"Gent, Belgium",We like to invite open minded people in our accommodations from all over the world to share thoughts. And learn you all about the beautiful unknown spots in our city.,within a few hours,100%,80%,t,https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone', 'work_email']",t,t,"Ghent, Flanders, Belgium",Elisabethbegijnhof - Papegaai,,51.05021,3.71624,Entire rental unit,Entire home/apt,2,1.0,1 bath,0,1,"[""Dishes and silverware"", ""Oven"", ""Room-darkening shades"", ""Central heating"", ""Paid street parking off premises"", ""Coffee maker"", ""Bed linens"", ""Cooking basics"", ""Refrigerator"", ""Electric stove"", ""Private entrance"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Kitchen"", ""Iron"", ""Hair dryer"", ""Dining table"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Cleaning products"", ""Host greets you"", ""Microwave"", ""Ethernet connection"", ""Hot water kettle"", ""Wifi""]",$95.00,90,200,90,90,200,200,90.0,200.0,,t,0,0,0,179,2024-12-25,23,1,0,2013-05-01,2024-02-02,4.83,4.96,5.0,4.91,4.83,4.78,4.61,,f,5,5,0,0,0.16
835795,https://www.airbnb.com/rooms/835795,20241225160317,2024-12-25,city scrape,Koestraat 46,Want to stay for a weekend midweek or longer period in one of the most beautiful cities in Belgium ?<br /><br />We offer you a furnished studio with fully equipped kitchen and bathroom. All this located in a historic building in the heart of the old town.<br /><br />Touristcitytax 3.5 euro pp/night not included.,,https://a0.muscache.com/pictures/71f220e0-8d86-4cab-9dd1-765e7f6c1309.jpg,4369972,https://www.airbnb.com/users/show/4369972,Koestraat 46,2012-12-10,"Drongen, Belgium",Centraal gelegen appartement in hartje Gent,within an hour,100%,98%,t,https://a0.muscache.com/im/users/4369972/profile_pic/1355146255/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4369972/profile_pic/1355146255/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Binnenstad,,51.05277,3.72902,Entire loft,Entire home/apt,4,1.5,1.5 baths,1,2,"[""Dishes and silverware"", ""Oven"", ""Coffee maker"", ""Cooking basics"", ""Stove"", ""Refrigerator"", ""Shampoo"", ""Hot water"", ""Smoke alarm"", ""Long term stays allowed"", ""Washer"", ""Heating"", ""Kitchen"", ""Iron"", ""Dishwasher"", ""Self check-in"", ""Hair dryer"", ""Essentials"", ""Fire extinguisher"", ""Hangers"", ""Paid parking off premises"", ""Microwave"", ""Keypad"", ""TV with standard cable"", ""Wifi""]",$113.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,6,19,32,239,2024-12-25,587,82,8,2013-03-11,2024-12-20,4.84,4.9,4.9,4.91,4.9,4.93,4.79,,f,1,1,0,0,4.09
887716,https://www.airbnb.com/rooms/887716,20241225160317,2024-12-25,city scrape,Duplex studio F central Ghent,"Self-catered studio on 3th floor with extra mezzanine.<br />Ideal for 1 person or couple.  Erasmus or PHD student.  Sleeping on mezzanine. <br />With private kitchen and bathroom (shower, toilet, lavabo).  Fully furnished and equipped kitchen.",This studio is situated in a hip upcoming neighbourhood of the center of Ghent. A lot of alternative nice bars and restaurants nearby. Bakery shop around the corner and several locations for a nice breakfast. Shopping area at 3 min walk. Historical center with the 3 famous towers are only 5 min walk along a beautiful canal. On sunday morning there is a book- and flower market at the end of the street.,https://a0.muscache.com/pictures/55793173/4404a216_original.jpg,1328011,https://www.airbnb.com/users/show/1328011,Jan,2011-10-24,"Gent, Belgium",We like to invite open minded people in our accommodations from all over the world to share thoughts. And learn you all about the beautiful unknown spots in our city.,within a few hours,100%,80%,t,https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1328011/profile_pic/1319575091/original.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone', 'work_email']",t,t,"Ghent, Flanders, Belgium",Elisabethbegijnhof - Papegaai,,51.05021,3.71624,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Dishes and silverware"", ""Oven"", ""Room-darkening shades"", ""Coffee maker"", ""Bed linens"", ""Cooking basics"", ""Stove"", ""Refrigerator"", ""Private entrance"", ""Hot water"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Kitchen"", ""Iron"", ""Hair dryer"", ""Essentials"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Host greets you"", ""Paid parking off premises"", ""Microwave"", ""Ethernet connection"", ""Wifi""]",$110.00,90,200,6,90,200,200,84.2,200.0,,t,18,18,18,195,2024-12-25,11,1,0,2017-09-23,2024-06-30,4.64,4.64,4.73,4.82,4.55,4.82,4.27,,f,5,5,0,0,0.12
924683,https://www.airbnb.com/rooms/924683,20241225160317,2024-12-25,city scrape,Perfect apartment centre of Ghent,We offer you an apartment in the Oude Houtlei 13C. The flat is located in the heart of the old city at 5 minutes walking distance of the Graslei and Korenlei and the Castle Gravensteen but still the location is very quiet.<br />The apartment is situated in an old schoolbuilding that has recently been renovated with respect for the old details. With its high windows facing south is an oasis of light and space.,"The apartment is situated in the heart of the old city, Oude Houtlei Gent.  The flat is located at 5 minutes walking distance from the Graslei, Korenlei, the Sint Baafscathedral and the Castle Gravensteen.<br />There is absolutely everything in the neighborhood at max 5 minutes walking distance : cinema, restaurants, postoffice, shops, supermarket, busstation, public parking, ...",https://a0.muscache.com/pictures/miso/Hosting-924683/original/1cede60b-d7d9-415c-92bf-ea9d84b5a16f.jpeg,4974034,https://www.airbnb.com/users/show/4974034,Carmen,2013-02-05,"Gent, Belgium",My name is Carmen and I live in Gent,within a few hours,100%,91%,t,https://a0.muscache.com/im/pictures/user/66c6ed5a-ceed-4bba-b8a8-f9c91c876aec.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/66c6ed5a-ceed-4bba-b8a8-f9c91c876aec.jpg?aki_policy=profile_x_medium,,2,5,"['email', 'phone']",t,t,"Ghent, Flanders, Belgium",Elisabethbegijnhof - Papegaai,,51.05353,3.71675,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,2,"[""Dishes and silverware"", ""Oven"", ""Dryer"", ""Courtyard view"", ""Coffee maker"", ""Pack \u2019n play/Travel crib"", ""Private patio or balcony"", ""Cooking basics"", ""Refrigerator"", ""Private entrance"", ""Hot water"", ""Elevator"", ""Smoke alarm"", ""Washer"", ""Heating"", ""Kitchen"", ""Dishwasher"", ""Essentials"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Crib"", ""High chair"", ""Host greets you"", ""Microwave"", ""TV with standard cable"", ""Wifi""]",$44.00,20,730,20,20,730,730,20.0,730.0,,t,3,3,3,188,2024-12-25,404,0,0,2013-02-27,2023-07-23,4.88,4.91,4.9,4.85,4.93,4.94,4.86,,f,1,1,0,0,2.81
1018048,https://www.airbnb.com/rooms/1018048,20241225160317,2024-12-25,city scrape,"Large airy studio, central location",Central though quiet location. Spacious studio on upperfloor. Nice view from kitchen onto garden and park.Historical centre just round the corner.,The old city quarters 'Patershol' is just round the corner. It is a maze of small pedestrian Streets filled with good restaurants.<br />The neighbourhood we live in is called Prinsenhof and it was all part of the domain of Charles V. Some remnants can be spotted.,https://a0.muscache.com/pictures/45192920/9147ff42_original.jpg,5600970,https://www.airbnb.com/users/show/5600970,Johan,2013-03-24,"Gent, Belgium","We love and live in Ghent. Travelling, movies , english literature and nights on the town are my passions but most of all my dog Pablo : light of my life.
I love to cook mediterranean style greatly inspired by Jamie Oliver, Nigella Lawson and Ottolenghi.
-Better to be fooled than to be suspicious all the time- E.M. Forster
",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/3ccd3591-edd6-4c31-87a9-99faa2b89c65.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3ccd3591-edd6-4c31-87a9-99faa2b89c65.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Ghent, Oost Vlaanderen, Belgium",Sluizeken - Tolhuis - Ham,,51.06097,3.71737,Entire rental unit,Entire home/apt,3,1.0,1 bath,1,2,"[""Dishes and silverware"", ""Coffee"", ""Books and reading material"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Lekkere body soap"", ""Cooking basics"", ""First aid kit"", ""Refrigerator"", ""Baking sheet"", ""Shampoo"", ""Waterfront"", ""Drying rack for clothing"", ""Hot water"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Shower gel"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Toaster"", ""Essentials"", ""Dining table"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Dedicated workspace"", ""Hangers"", ""Portable fans"", ""Cleaning products"", ""Board games"", ""Garden view"", ""Crib"", ""Coffee maker: drip coffee maker, french press"", ""Paid parking off premises"", ""Microwave"", ""Hot water kettle"", ""Clothing storage: closet and wardrobe"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Anders induction stove"", ""Pets allowed"", ""Lockbox"", ""Wifi""]",$65.00,1,120,1,2,1125,1125,1.1,1125.0,,t,4,14,41,246,2024-12-25,996,88,7,2014-04-02,2024-12-13,4.83,4.85,4.86,4.94,4.94,4.92,4.83,,t,1,1,0,0,7.62
